Num of movable links,target_xcor,Elapsed time,Best trained network,Fitness value of the best solution,Best solution distance,Best solution time of throw,Best solution total work sum,max_fitness,distance_value,time_value,work_sum_value,penalty_col,penalty_angle,Num_of_training_instances,gripper_type,net_path
4,2600.0,2.984924793243408,./neat-models/898f9f1554584fa7b322b14f0041f0cc-2024-04-20---19-36-06/de499b89c7634467a7c7cd50f52eea9c-2024-04-20---19-36-09,0,36.02547397022636,1.9799999999999798,27.52900050060659,100,0.9500000000000001,0.5,1e-08,500.0,50.0,4,robotic,./neat-models/898f9f1554584fa7b322b14f0041f0cc-2024-04-20---19-36-06/de499b89c7634467a7c7cd50f52eea9c-2024-04-20---19-36-09
4,2600.0,3.180121421813965,./neat-models/898f9f1554584fa7b322b14f0041f0cc-2024-04-20---19-36-06/31487d8313d842ac8657f0d84f44960b-2024-04-20---19-36-09,0,31.77522065396124,1.9899999999999796,25.2017733846563,100,0.9500000000000001,0.5,1e-08,500.0,50.0,4,robotic,./neat-models/898f9f1554584fa7b322b14f0041f0cc-2024-04-20---19-36-06/31487d8313d842ac8657f0d84f44960b-2024-04-20---19-36-09
4,2600.0,3.453416109085083,./neat-models/898f9f1554584fa7b322b14f0041f0cc-2024-04-20---19-36-06/470834dd94a54a12a1b3f81fba8c2b2d-2024-04-20---19-36-09,0,46.83424567233487,2.364999999999972,35.423440151785655,100,0.9500000000000001,0.5,1e-08,500.0,50.0,4,robotic,./neat-models/898f9f1554584fa7b322b14f0041f0cc-2024-04-20---19-36-06/470834dd94a54a12a1b3f81fba8c2b2d-2024-04-20---19-36-09
4,2600.0,3.443448781967163,./neat-models/898f9f1554584fa7b322b14f0041f0cc-2024-04-20---19-36-06/3b230e74c39341daa58daa815bcfbf74-2024-04-20---19-36-09,0,10.616513916037547,1.779999999999984,23.635373633090122,100,0.9500000000000001,0.5,1e-08,500.0,50.0,4,robotic,./neat-models/898f9f1554584fa7b322b14f0041f0cc-2024-04-20---19-36-06/3b230e74c39341daa58daa815bcfbf74-2024-04-20---19-36-09
4,2600.0,3.147678852081299,./neat-models/57fd750777624833b9d8efbe7afeb643-2024-04-20---19-44-06/4ee6fea7bfa84603a41b4848fc8fdfe3-2024-04-20---19-44-09,0,75.52921217246967,2.8899999999999606,32.549818690870985,100,0.9500000000000001,0.5,1e-08,500.0,50.0,1,robotic,./neat-models/57fd750777624833b9d8efbe7afeb643-2024-04-20---19-44-06/4ee6fea7bfa84603a41b4848fc8fdfe3-2024-04-20---19-44-09
4,2600.0,3114.5290303230286,./neat-models/9d57b195aa4f4159a6b9da476c51c8d7-2024-04-20---19-58-58/fa4a85fc1ce540ff944590531b312cdb-2024-04-20---20-50-53,0,0.0003759402161449543,1.7649999999999844,34.7467949757488,100,0.9500000000000001,0.5,1e-08,500.0,50.0,1,robotic,./neat-models/9d57b195aa4f4159a6b9da476c51c8d7-2024-04-20---19-58-58/fa4a85fc1ce540ff944590531b312cdb-2024-04-20---20-50-53
4,3000.0,2574.980209827423,./neat-models/8d385887c6f046a2bfe9ea5f1ff4938c-2024-04-21---10-41-43/a3552e085d604ee7bb96deaaa2800892-2024-04-21---11-24-38,0,0.0006634408364334377,1.8099999999999834,28.59008222033424,100,0.9500000000000001,0.5,1e-08,500.0,50.0,4,robotic,./neat-models/8d385887c6f046a2bfe9ea5f1ff4938c-2024-04-21---10-41-43/a3552e085d604ee7bb96deaaa2800892-2024-04-21---11-24-38
4,3000.0,2676.4774136543274,./neat-models/8d385887c6f046a2bfe9ea5f1ff4938c-2024-04-21---10-41-43/7757d28ea48c4b30845bde4dae296054-2024-04-21---11-26-20,0,0.00450000158025432,1.8099999999999834,26.77058300738527,100,0.9500000000000001,0.5,1e-08,500.0,50.0,4,robotic,./neat-models/8d385887c6f046a2bfe9ea5f1ff4938c-2024-04-21---10-41-43/7757d28ea48c4b30845bde4dae296054-2024-04-21---11-26-20
4,3000.0,2744.936710834503,./neat-models/8d385887c6f046a2bfe9ea5f1ff4938c-2024-04-21---10-41-43/4f87d9f2195c42128d8df7a0b4f87d00-2024-04-21---11-27-28,0,0.024750730497089535,1.8099999999999834,30.309641531475332,100,0.9500000000000001,0.5,1e-08,500.0,50.0,4,robotic,./neat-models/8d385887c6f046a2bfe9ea5f1ff4938c-2024-04-21---10-41-43/4f87d9f2195c42128d8df7a0b4f87d00-2024-04-21---11-27-28
4,3000.0,2811.589763879776,./neat-models/8d385887c6f046a2bfe9ea5f1ff4938c-2024-04-21---10-41-43/e6a41d713e3a489389454cb5b5af1e07-2024-04-21---11-28-35,0,0.002807065222896199,2.259999999999974,44.499019853317996,100,0.9500000000000001,0.5,1e-08,500.0,50.0,4,robotic,./neat-models/8d385887c6f046a2bfe9ea5f1ff4938c-2024-04-21---10-41-43/e6a41d713e3a489389454cb5b5af1e07-2024-04-21---11-28-35
4,3000.0,2335.8754584789276,./neat-models/cdc38611966b4e58899ab37d9955529b-2024-04-21---11-45-30/1eb2bea05e9449d997c9225962c7d219-2024-04-21---12-24-26,0,0.0059449128621054115,1.7499999999999847,24.141106025458395,100,0.9500000000000001,0.5,1e-08,500.0,50.0,4,robotic,./neat-models/cdc38611966b4e58899ab37d9955529b-2024-04-21---11-45-30/1eb2bea05e9449d997c9225962c7d219-2024-04-21---12-24-26
4,3000.0,2830.7502131462097,./neat-models/cdc38611966b4e58899ab37d9955529b-2024-04-21---11-45-30/a791865cdc3b48d395ca446e574f2d84-2024-04-21---12-32-41,0,0.041184697033713746,1.8949999999999816,38.36999008634421,100,0.9500000000000001,0.5,1e-08,500.0,50.0,4,robotic,./neat-models/cdc38611966b4e58899ab37d9955529b-2024-04-21---11-45-30/a791865cdc3b48d395ca446e574f2d84-2024-04-21---12-32-41
4,3000.0,3062.2169415950775,./neat-models/cdc38611966b4e58899ab37d9955529b-2024-04-21---11-45-30/a60e6adfaa324702bfd35eaa387ce293-2024-04-21---12-36-32,0,0.007382017477539193,2.204999999999975,41.18684744790697,100,0.9500000000000001,0.5,1e-08,500.0,50.0,4,robotic,./neat-models/cdc38611966b4e58899ab37d9955529b-2024-04-21---11-45-30/a60e6adfaa324702bfd35eaa387ce293-2024-04-21---12-36-32
4,3000.0,3095.3933341503143,./neat-models/cdc38611966b4e58899ab37d9955529b-2024-04-21---11-45-30/d2b5d0e5adfc46459ab2f90aa6ec25b5-2024-04-21---12-37-06,0,0.0032688243609300116,2.169999999999976,37.27215694182218,100,0.9500000000000001,0.5,1e-08,500.0,50.0,4,robotic,./neat-models/cdc38611966b4e58899ab37d9955529b-2024-04-21---11-45-30/d2b5d0e5adfc46459ab2f90aa6ec25b5-2024-04-21---12-37-06
4,3000.0,3.7887415885925293,./neat-models/5830af2f70b74cb59ab979bacfe84e61-2024-04-21---13-46-52/0bc66842312f4dd3863736f6b642b80d-2024-04-21---13-46-56,0,99.30340293354129,1.8049999999999835,37.01025752969742,100,0.9500000000000001,0.5,1e-08,500.0,50.0,4,robotic,./neat-models/5830af2f70b74cb59ab979bacfe84e61-2024-04-21---13-46-52/0bc66842312f4dd3863736f6b642b80d-2024-04-21---13-46-56
4,3000.0,3.758988380432129,./neat-models/5830af2f70b74cb59ab979bacfe84e61-2024-04-21---13-46-52/df98df17d0bc41708af7ede72e2e7027-2024-04-21---13-46-56,0,202.1892490222731,2.404999999999971,43.710717154854464,100,0.9500000000000001,0.5,1e-08,500.0,50.0,4,robotic,./neat-models/5830af2f70b74cb59ab979bacfe84e61-2024-04-21---13-46-52/df98df17d0bc41708af7ede72e2e7027-2024-04-21---13-46-56
4,3000.0,3.7565557956695557,./neat-models/5830af2f70b74cb59ab979bacfe84e61-2024-04-21---13-46-52/26dc51b86c18438da465a001d6a7b929-2024-04-21---13-46-56,0,216.67529140920033,2.124999999999977,39.96872628445134,100,0.9500000000000001,0.5,1e-08,500.0,50.0,4,robotic,./neat-models/5830af2f70b74cb59ab979bacfe84e61-2024-04-21---13-46-52/26dc51b86c18438da465a001d6a7b929-2024-04-21---13-46-56
4,3000.0,998.9393968582153,./neat-models/6f87b75faf714522baaf16ea2de6a35e-2024-04-21---13-49-34/1dd330faacc14b02a158fbb1b5c67b2e-2024-04-21---14-06-13,0,0.001131255298787437,1.2599999999999951,29.214245398046167,100,0.9500000000000001,0.5,1e-08,500.0,50.0,1,stiff,./neat-models/6f87b75faf714522baaf16ea2de6a35e-2024-04-21---13-49-34/1dd330faacc14b02a158fbb1b5c67b2e-2024-04-21---14-06-13
3,2000.0,1014.3985981941223,./neat-models/984e9d9715c94c4695c74b9fcc821467-2024-04-21---16-21-35/c386e9f7b75848c2af1843f42f0699c3-2024-04-21---16-38-29,0,0.052148591535114974,1.1599999999999973,14.062727418310223,100,0.9500000000000001,0.5,1e-08,500.0,50.0,1,stiff,./neat-models/984e9d9715c94c4695c74b9fcc821467-2024-04-21---16-21-35/c386e9f7b75848c2af1843f42f0699c3-2024-04-21---16-38-29
